competition_edition_id,competition_id,competition_name,season_id,season_name,player_id,player_name,player_short_name,player_birthdate,team_id,team_name,position_group,minutes,minutes_tip,minutes_otip,performance_count,performance_included_count,performance_failed_count,passopportunity_count_total,passopportunity_count_p30tip,pass_count_goalwithin10s_p30tip,pass_count_shotwithin10s_p30tip,pass_count_attempted_total,pass_count_attempted_p30tip,pass_count_completed_p30tip,pass_pct_completed,pass_avgxpass_attempted,pass_avgdistance,pass_count_longrange_attempted_p30tip,pass_count_onetouch_attempted_p30tip,pass_count_quickpass_attempted_p30tip,pass_count_onetouch_dangerous_attempted_p30tip,pass_count_quickpass_dangerous_attempted_p30tip,passopportunity_count_linebreak_p30tip,pass_count_linebreak_attempted_p30tip,pass_count_linebreak_completed_p30tip,passopportunity_count_torun_p30tip,pass_count_torun_attempted_p30tip,pass_count_torun_completed_p30tip,pass_pct_torun_completed,pass_avgxpass_torun_attempted,pass_count_torun_shotwithin10s_p30tip,pass_count_torun_goalwithin10s_p30tip,passopportunity_count_dangerous_p30tip,pass_count_dangerous_attempted_p30tip,pass_pct_dangerous_completed,pass_count_dangerous_completed_p30tip,pass_count_difficultpass_attempted_p30tip
870,61,AUS - A-League,95,2024/2025,795521,Alexander Badolato,A. Badolato,2005-02-23,868,Melbourne Victory Football Club,Midfield,75.36,15.76,18.06,1,1,0,61.0,116.12,0.0,1.9,22.0,41.88,34.26,81.82,76.2,10.46,1.9,24.75,9.52,1.9,0.0,3.81,1.9,1.9,30.46,15.23,13.32,87.5,72.8,1.9,0.0,28.55,5.71,100.0,5.71,9.52
870,61,AUS - A-League,95,2024/2025,795523,Anthony Pantazopoulos,A. Pantazopoulos,2003-04-22,2902,Western Sydney Wanderers FC,Central Defender,99.09,27.05,27.52,13,13,0,1670.0,142.45,0.17,0.85,657.0,56.04,46.57,83.1,90.05,21.46,7.59,11.86,9.21,0.09,0.09,36.34,11.52,7.25,21.07,6.91,5.29,76.54,78.14,0.09,0.0,2.99,1.36,37.5,0.51,8.1
870,61,AUS - A-League,95,2024/2025,795523,Anthony Pantazopoulos,A. Pantazopoulos,2003-04-22,2902,Western Sydney Wanderers FC,Full Back,88.76,23.19,24.52,6,6,0,471.0,101.55,0.0,2.37,183.0,39.45,27.81,70.49,77.4,18.41,3.67,13.58,9.92,1.29,0.65,19.83,7.55,3.67,29.75,13.15,8.19,62.3,65.77,1.29,0.0,12.5,4.74,27.27,1.29,11.86
870,61,AUS - A-League,95,2024/2025,795524,Dylan Scicluna,D. Scicluna,2004-06-10,2902,Western Sydney Wanderers FC,Midfield,95.59,27.07,25.83,7,7,0,1287.0,203.79,0.32,3.64,361.0,57.16,47.98,83.93,85.99,18.45,5.38,17.1,13.46,0.32,0.63,43.7,13.14,9.34,22.96,6.81,3.64,53.49,61.93,0.16,0.16,12.19,3.01,63.16,1.9,8.87
870,61,AUS - A-League,95,2024/2025,795525,Oscar James Moncrieff Priestman,O. Priestman,2003-03-25,2902,Western Sydney Wanderers FC,Midfield,92.09,24.71,25.91,18,18,0,2350.0,158.48,0.4,2.76,734.0,49.5,45.32,91.55,91.55,16.61,3.64,11.53,8.5,0.27,0.2,27.04,5.46,4.79,16.93,6.74,6.41,95.0,83.68,1.15,0.13,12.07,2.5,64.86,1.62,3.78
870,61,AUS - A-League,95,2024/2025,795525,Oscar James Moncrieff Priestman,O. Priestman,2003-03-25,2902,Western Sydney Wanderers FC,Wide Attacker,63.15,22.46,19.12,1,1,0,67.0,89.49,0.0,4.01,20.0,26.71,25.38,95.0,95.1,14.47,0.0,12.02,2.67,0.0,1.34,4.01,0.0,0.0,16.03,4.01,4.01,100.0,96.88,1.34,0.0,13.36,1.34,100.0,1.34,0.0
870,61,AUS - A-League,95,2024/2025,795526,Zachary Sapsford,Z. Sapsford,2002-08-16,2902,Western Sydney Wanderers FC,Center Forward,70.45,19.52,19.9,19,19,0,751.0,60.76,0.24,2.91,215.0,17.39,11.73,67.44,67.45,13.27,0.4,6.23,1.78,1.21,0.49,1.86,0.73,0.57,27.99,9.3,6.15,66.09,63.87,1.78,0.24,22.41,6.31,55.13,3.48,7.04
870,61,AUS - A-League,95,2024/2025,795527,Matthew Grimaldi,M. Grimaldi,2003-11-28,1803,Western United,Midfield,77.03,26.7,18.91,1,1,0,110.0,123.6,0.0,2.25,24.0,26.97,21.35,79.17,83.06,10.41,0.0,3.37,8.99,1.12,1.12,10.11,2.25,2.25,35.96,10.11,5.62,55.56,72.57,1.12,0.0,39.33,8.99,37.5,3.37,4.49
870,61,AUS - A-League,95,2024/2025,795527,Matthew Grimaldi,M. Grimaldi,2003-11-28,1803,Western United,Wide Attacker,78.1,21.23,24.58,12,12,0,918.0,108.11,0.59,2.47,211.0,24.85,18.61,74.88,80.12,14.69,1.06,5.42,4.47,1.06,1.18,7.54,1.53,1.06,34.27,8.36,5.65,67.61,70.3,1.18,0.35,40.16,7.42,57.14,4.24,5.89
870,61,AUS - A-League,95,2024/2025,795528,Kane Vidmar,K. Vidmar,2004-06-04,1803,Western United,Central Defender,92.02,27.11,27.01,2,2,0,285.0,157.66,0.0,0.0,119.0,65.83,59.75,90.76,93.66,19.04,6.09,8.85,11.06,0.0,0.0,29.32,8.3,5.53,20.47,9.96,8.85,88.89,86.07,0.0,0.0,0.55,0.0,,0.0,6.09
870,61,AUS - A-League,95,2024/2025,795529,Michael Ruhs,M. Ruhs,2002-08-27,1803,Western United,Center Forward,72.92,19.4,21.81,5,5,0,196.0,60.61,0.31,1.86,56.0,17.32,12.06,69.64,68.53,12.25,0.31,7.73,2.16,1.55,0.62,1.86,0.62,0.62,25.05,7.42,5.26,70.83,66.66,0.93,0.0,21.34,4.33,71.43,3.09,7.42
